Time (ms),Name,Value
42765,"value2","439.0"
42765,"value3","614.0"
42866,"value1","521.0"
42866,"value2","437.0"
42866,"value3","615.0"
42967,"value1","522.0"
42967,"value2","437.0"
42967,"value3","615.0"
43068,"value1","522.0"
43068,"value2","438.0"
43068,"value3","615.0"
43169,"value1","522.0"
43169,"value3","615.0"
43169,"value2","438.0"
43270,"value1","522.0"
43270,"value2","438.0"
43270,"value3","615.0"
43371,"value1","524.0"
43371,"value2","439.0"
43371,"value3","615.0"
43474,"value1","523.0"
43474,"value2","437.0"
43474,"value3","615.0"
43576,"value1","523.0"
43576,"value2","437.0"
43576,"value3","615.0"
43680,"value1","521.0"
43680,"value2","439.0"
43680,"value3","615.0"
43780,"value1","522.0"
43780,"value2","438.0"
43780,"value3","614.0"
43881,"value1","521.0"
43881,"value2","438.0"
43881,"value3","616.0"
43982,"value1","522.0"
43982,"value2","437.0"
43982,"value3","615.0"
44083,"value2","437.0"
44083,"value3","614.0"
44083,"value1","521.0"
44184,"value1","522.0"
44184,"value3","616.0"
44184,"value2","439.0"
44223,"limit","700.0"
44285,"value1","522.0"
44285,"value3","614.0"
44285,"value2","437.0"
44285,"limit","700.0"
44386,"value1","521.0"
44386,"value2","438.0"
44386,"onWhite1","true"
44386,"onWhite2","true"
44386,"onWhite3","true"
44386,"value3","615.0"
44487,"value1","522.0"
44487,"value3","616.0"
44487,"value2","438.0"
44588,"value1","523.0"
44588,"value2","438.0"
44588,"value3","616.0"
44689,"value2","439.0"
44689,"value3","615.0"
44689,"value1","523.0"
44790,"value1","523.0"
44790,"value2","439.0"
44790,"value3","615.0"
44891,"value2","439.0"
44891,"value3","616.0"
44891,"value1","522.0"
44994,"value1","523.0"
44994,"value2","439.0"
44994,"value3","617.0"
45099,"value1","524.0"
45099,"value3","616.0"
45099,"value2","438.0"
45199,"value1","523.0"
45199,"value3","614.0"
45200,"value2","439.0"
45300,"value1","524.0"
45300,"value2","438.0"
45300,"value3","615.0"
45401,"value1","524.0"
45401,"value2","439.0"
45401,"value3","615.0"
45502,"value1","524.0"
45502,"value3","618.0"
45502,"value2","438.0"
45603,"value1","522.0"
45603,"value3","614.0"
45603,"value2","438.0"
45704,"value1","521.0"
45704,"value2","438.0"
45704,"value3","616.0"
45805,"value1","523.0"
45805,"value2","438.0"
45805,"value3","616.0"
45906,"value1","523.0"
45906,"value3","615.0"
45906,"value2","439.0"
46007,"value2","439.0"
46007,"value3","617.0"
46007,"value1","523.0"
46108,"value1","523.0"
46108,"value2","439.0"
46108,"value3","616.0"
46209,"value1","524.0"
46209,"value2","439.0"
46209,"value3","617.0"
46310,"value1","523.0"
46310,"value2","439.0"
46310,"value3","615.0"
46411,"value1","524.0"
46411,"value2","439.0"
46411,"value3","615.0"
46515,"value2","440.0"
46515,"value3","615.0"
46515,"value1","523.0"
46619,"value3","616.0"
46619,"value1","524.0"
46619,"value2","439.0"
46719,"value1","525.0"
46720,"value2","440.0"
46720,"value3","617.0"
46819,"value2","439.0"
46819,"value1","523.0"
46819,"value3","616.0"
46920,"value2","439.0"
46920,"value3","618.0"
46920,"value1","525.0"
47021,"value1","524.0"
47021,"value3","617.0"
47021,"value2","439.0"
47122,"value1","523.0"
47122,"value2","440.0"
47122,"value3","615.0"
47223,"value1","524.0"
47223,"value2","440.0"
47223,"value3","615.0"
47324,"value3","614.0"
47324,"value2","440.0"
47324,"value1","525.0"
47425,"value1","525.0"
47426,"value3","616.0"
47426,"value2","438.0"
47528,"value1","524.0"
47528,"value2","439.0"
47528,"value3","617.0"
57127,"value1","538.0"
57127,"value2","439.0"
57127,"value3","609.0"
57228,"value1","644.0"
57228,"value2","539.0"
57228,"value3","669.0"
57329,"value1","645.0"
57329,"value2","463.0"
57329,"value3","588.0"
57430,"value1","748.0"
57430,"value2","532.0"
57430,"value3","575.0"
57430,"direction","0.5"
57430,"onWhite1","false"
57531,"value1","684.0"
57531,"value2","540.0"
57531,"value3","628.0"
57531,"direction","0.0"
57531,"onWhite1","true"
57635,"value1","616.0"
57635,"value2","585.0"
57635,"value3","737.0"
57635,"direction","-0.5"
57635,"onWhite3","false"
57740,"value1","532.0"
57741,"value2","516.0"
57741,"value3","751.0"
57841,"value1","598.0"
57841,"value2","453.0"
57841,"value3","591.0"
57841,"direction","0.0"
57841,"onWhite3","true"
57941,"value1","768.0"
57941,"value2","525.0"
57941,"value3","540.0"
57941,"direction","0.5"
57941,"onWhite1","false"
58041,"value1","855.0"
58041,"value2","512.0"
58041,"value3","429.0"
58142,"value1","837.0"
58142,"value2","640.0"
58142,"value3","567.0"
58243,"value1","607.0"
58243,"value2","471.0"
58243,"value3","607.0"
58243,"direction","0.0"
58243,"onWhite1","true"
58344,"value1","911.0"
58344,"value2","901.0"
58344,"value3","906.0"
58344,"onWhite1","false"
58344,"onWhite2","false"
58344,"onWhite3","false"
58445,"value1","913.0"
58445,"value2","905.0"
58445,"value3","909.0"
80146,"limit","0.0"
80146,"value1","910.0"
80146,"value2","897.0"
80146,"value3","903.0"
80247,"value1","910.0"
80247,"value2","898.0"
80247,"value3","902.0"
80348,"value1","910.0"
80348,"value2","899.0"
80348,"value3","901.0"
80449,"value1","910.0"
80449,"value2","900.0"
80449,"value3","900.0"
80550,"value2","899.0"
80550,"value3","903.0"
80550,"value1","909.0"
80651,"value3","903.0"
80651,"value1","908.0"
80752,"value1","910.0"
80752,"value2","898.0"
80752,"value3","903.0"
80859,"value1","911.0"
80859,"value3","902.0"
80859,"value2","899.0"
80960,"value1","910.0"
80960,"value2","900.0"
80960,"value3","901.0"
81061,"value1","910.0"
81061,"value2","900.0"
81061,"value3","902.0"
81162,"value2","899.0"
81162,"value1","911.0"
81162,"value3","901.0"
81263,"value1","909.0"
81263,"value2","899.0"
81263,"value3","902.0"
81364,"value1","909.0"
81364,"value2","897.0"
81364,"value3","901.0"
81465,"value1","907.0"
81465,"value2","898.0"
81465,"value3","901.0"
81566,"value1","910.0"
81566,"value2","897.0"
81566,"value3","902.0"
81667,"value2","898.0"
81667,"value3","901.0"
81667,"value1","909.0"
81768,"value2","899.0"
81768,"value3","903.0"
81768,"value1","908.0"
81869,"value1","909.0"
81869,"value3","902.0"
81869,"value2","898.0"
81970,"value2","898.0"
81970,"value1","909.0"
81970,"value3","902.0"
82071,"value1","909.0"
82071,"value2","898.0"
82071,"value3","903.0"
82176,"value2","898.0"
82176,"value3","902.0"
82176,"value1","909.0"
82279,"value1","911.0"
82279,"value3","902.0"
82279,"value2","898.0"
82379,"value1","908.0"
82379,"value2","897.0"
82379,"value3","904.0"
82479,"value1","911.0"
82480,"value2","897.0"
82480,"value3","903.0"
82579,"value1","910.0"
82580,"value3","903.0"
82580,"value2","898.0"
82679,"value1","908.0"
82680,"value2","897.0"
82680,"value3","901.0"
82779,"value2","897.0"
82779,"value3","903.0"
82780,"value1","907.0"
82879,"value1","912.0"
82880,"value2","905.0"
82880,"value3","906.0"
82980,"value1","908.0"
82980,"value2","898.0"
82980,"value3","901.0"
83080,"value1","911.0"
83080,"value2","899.0"
83080,"value3","901.0"
83181,"value1","907.0"
83181,"value2","903.0"
83181,"value3","907.0"
83282,"value2","900.0"
83282,"value3","906.0"
83282,"value1","910.0"
83383,"value1","913.0"
83383,"value2","904.0"
83383,"value3","905.0"
83484,"value1","908.0"
83484,"value2","901.0"
83484,"value3","906.0"
83585,"value1","909.0"
83585,"value2","901.0"
83585,"value3","909.0"
83686,"value2","903.0"
83686,"value3","907.0"
83686,"value1","911.0"
83787,"value2","904.0"
83787,"value3","905.0"
83787,"value1","912.0"
83888,"value2","905.0"
83888,"value3","908.0"
83888,"value1","913.0"
83989,"value1","909.0"
83989,"value2","899.0"
83989,"value3","905.0"
84090,"value1","911.0"
84090,"value2","900.0"
84090,"value3","903.0"
84191,"value1","693.0"
84191,"value2","770.0"
84191,"value3","879.0"
84292,"value1","620.0"
84292,"value2","718.0"
84292,"value3","867.0"
84396,"value1","582.0"
84396,"value2","650.0"
84396,"value3","838.0"
84499,"value1","613.0"
84499,"value2","690.0"
84499,"value3","850.0"
84599,"value2","725.0"
84599,"value3","863.0"
84599,"value1","630.0"
84699,"value1","583.0"
84699,"value2","661.0"
84699,"value3","843.0"
84801,"value1","561.0"
84801,"value2","590.0"
84801,"value3","799.0"
84899,"value1","539.0"
84899,"value2","523.0"
84899,"value3","747.0"
84999,"value1","562.0"
84999,"value2","513.0"
84999,"value3","715.0"
85099,"value1","583.0"
85100,"value2","507.0"
85100,"value3","684.0"
85199,"value1","591.0"
85199,"value2","484.0"
85199,"value3","633.0"
85299,"value1","653.0"
85299,"value2","508.0"
85299,"value3","606.0"
85399,"value1","714.0"
85399,"value2","563.0"
85399,"value3","613.0"
85499,"value1","755.0"
85499,"value2","584.0"
85499,"value3","595.0"
85599,"value1","792.0"
85599,"value2","583.0"
85599,"value3","574.0"
85699,"value1","818.0"
85699,"value2","603.0"
85699,"value3","549.0"
85799,"value1","839.0"
85799,"value2","619.0"
85799,"value3","543.0"
85900,"value1","860.0"
85900,"value2","650.0"
85900,"value3","554.0"
86000,"value1","899.0"
86000,"value2","717.0"
86000,"value3","529.0"
86100,"value1","911.0"
86100,"value2","869.0"
86100,"value3","653.0"
86200,"value1","910.0"
86200,"value2","902.0"
